OP,opcode,Comment,W-Selector (4 bits),ALU Op (3 bits),ACC WE,B WE,C WE,TMP WE,MAR WE,PC WE,PC INC,MDR WE,MDR DIR,IR WE,IR OP LOW WE,IR OP HIGH WE,OUT 1 WE,OUT 2 WE
FETCH,,MAR <- PC,0001,000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FETCH,,INC PC,0000,000,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FETCH,,IR <- MDR,0100,000,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FETCH,,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD B,80,TMP <- B; OP=ADD,0110,000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ADD B,80,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD B,80,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD C,81,TMP <- C; op=ADD,0111,000,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ADD C,81,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD C,81,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA B,A0,TMP <- B; OP=AND,0110,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANA B,A0,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA B,A0,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA C,A1,TMP <- C; OP=AND,0111,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANA C,A1,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA C,A1,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANI,E6,MAR <- PC,0001,000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ANI,E6,INC PC,0000,000,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANI,E6,TMP <- MDR; OP=AND,0100,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANI,E6,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANI,E6,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR A,3D,TMP <- ACC; OP=DEC,0101,011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DCR A,3D,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR A,3D,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR B,05,TMP <- B; OP=DEC,0110,011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DCR B,05,B <- ALU,0011,000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DCR B,05,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DCR C,0D,TMP <- C; OP=DEC,0111,011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DCR C,0D,C <- ALU,0011,000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DCR C,0D,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLT,76,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INR A,3C,TMP <- ACC; OP=INC,0101,010,0,0,0,1,0,0,0,0,0,0,0,0,0,0
INR A,3C,ACC <- ALU,0011,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INR A,3C,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INR B,04,TMP <- B; OP=INC,0110,010,0,0,0,1,0,0,0,0,0,0,0,0,0,0
INR B,04,B <- ALU,0011,000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
INR B,04,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INR C,0C,TMP <- C; OP=INC,0111,010,0,0,0,1,0,0,0,0,0,0,0,0,0,0
INR C,0C,C <- TMP,0011,000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
INR C,0C,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,B",78,A <- B,0110,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,B",78,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,C",79,A <- C,0111,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV A,C",79,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,A",47,B <- A,0101,000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,A",47,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,C",41,B <- C,0111,000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MOV B,C",41,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV C,A",4F,C <- A,0101,000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MOV C,A",4F,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MOV C,B",48,C <- B,0110,000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MOV C,B",48,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI A, byte",3E,MAR <- PC,0001,000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MVI A, byte",3E,INC PC,0000,000,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MVI A, byte",3E,MDR <- RAM,0000,000,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"MVI A, byte",3E,ACC <- MDR,0100,000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI A, byte",3E,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI B, byte",06,MAR <- PC,0001,000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MVI B, byte",06,INC PC,0000,000,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"MVI B, byte",06,B <- MDR,0100,000,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"MVI B, byte",06,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MVI C, byte",0E,MAR <- PC,0001,000,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MVI C, byte",0E,INC PC,0000,000,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"MVI C, byte",0E,C <- MDR,0100,000,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"MVI C, byte",0E,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOP,00,NOP,0000,000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
