0,FETCH,,MAR <- PC,000100000001000000000
1,FETCH,,INC PC,000000000000010000000
2,FETCH,,IR <- MDR,010000000000000010000
3,FETCH,,NOP,000000000000000000000
4,ADD B,80,TMP <- B,011000000010000000000
5,ADD B,80,ACC <- ALU,001100010000000000000
6,ADD B,80,NOP,000000000000000000000
7,ADD C,81,TMP <- C,011100000010000000000
8,ADD C,81,ACC <- ALU,001100010000000000000
9,ADD C,81,NOP,000000000000000000000
10,ANA B,A0,TMP <- B,011010000010000000000
11,ANA B,A0,ACC <- ALU,001100010000000000000
12,ANA B,A0,NOP,000000000000000000000
13,ANA C,A1,TMP <- C,011110000010000000000
14,ANA C,A1,ACC <- ALU,001100010000000000000
15,ANA C,A1,NOP,000000000000000000000
16,ANI,E6,MAR <- PC,000100000001000000000
17,ANI,E6,INC PC,000000000000010000000
18,ANI,E6,TMP <- MDR,010010000010000000000
19,ANI,E6,ACC <- ALU,001100010000000000000
20,ANI,E6,NOP,000000000000000000000
21,HLT,76,NOP,000000000000000000000
22,"MOV A,B",78,A <- B,011000010000000000000
23,"MOV A,B",78,NOP,000000000000000000000
24,"MOV A,C",79,A <- C,011100010000000000000
25,"MOV A,C",79,NOP,000000000000000000000
26,"MOV B,A",47,B <- A,010100001000000000000
27,"MOV B,A",47,NOP,000000000000000000000
28,"MOV B,C",41,B <- C,011100001000000000000
29,"MOV B,C",41,NOP,000000000000000000000
30,"MOV C,A",4F,C <- A,010100000100000000000
31,"MOV C,A",4F,NOP,000000000000000000000
32,"MOV C,B",48,C <- B,011000000100000000000
33,"MOV C,B",48,NOP,000000000000000000000
34,"MVI A, byte",3E,INC PC,000000000000010000000
35,"MVI A, byte",3E,MAR <- PC,000100000001000000000
36,"MVI A, byte",3E,ACC <- MDR,010000010000000000000
37,"MVI A, byte",3E,NOP,000000000000000000000
38,"MVI B, byte",06,INC PC,000000000000010000000
39,"MVI B, byte",06,MAR <- PC,000100000001000000000
40,"MVI B, byte",06,B <- MDR,010000001000000000000
41,"MVI B, byte",06,NOP,000000000000000000000
42,"MVI C, byte",0E,INC PC,000000000000010000000
43,"MVI C, byte",0E,MAR <- PC,000100000001000000000
44,"MVI C, byte",0E,C <- MDR,010000000100000000000
45,"MVI C, byte",0E,NOP,000000000000000000000
46,NOP,00,NOP,000000000000000000000
